MSN,YYYYMM,Description,Unit,Category,Pred
CLEIEUS,199203,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.201
CLEIEUS,199204,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,118.33
CLEIEUS,199205,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,121.946
CLEIEUS,199206,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,129.054
CLEIEUS,199207,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,148.563
CLEIEUS,199208,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,142.166
CLEIEUS,199209,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,132.766
CLEIEUS,199210,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.405
CLEIEUS,199211,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.014
CLEIEUS,199212,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,139.605
CLEIEUS,199213,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1569.566
CLEIEUS,199301,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,139.269
CLEIEUS,199302,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,128.056
CLEIEUS,199303,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,134.599
CLEIEUS,199304,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,119.596
CLEIEUS,199305,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,120.469
CLEIEUS,199306,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,136.697
CLEIEUS,199307,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,157.967
CLEIEUS,199308,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,156.392
CLEIEUS,199309,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,133.435
CLEIEUS,199310,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,130.321
CLEIEUS,199311,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,131.799
CLEIEUS,199312,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,143.919
CLEIEUS,199313,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1632.52
CLEIEUS,199401,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,153.119
CLEIEUS,199402,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,131.25
CLEIEUS,199403,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,132.54
